term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes,options,desc_en,desc_vi
market analysis,phân tích thị trường,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 8, Chương 11",phân tích thị trường,analysis of the overall interest in the product or service within the industry by its target market,việc phân tích mức độ quan tâm tổng thể đối với sản phẩm hoặc dịch vụ trong ngành bởi thị trường mục tiêu
market opportunity,cơ hội thị trường,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,cơ hội thị trường,unmet need within a target demographic,nhu cầu chưa được đáp ứng trong một nhóm khách hàng mục tiêu
market research,nghiên cứu thị trường,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,nghiên cứu thị trường,collection and analysis of data related to a business’s target market,việc thu thập và phân tích dữ liệu liên quan đến thị trường mục tiêu của doanh nghiệp
marketing,tiếp thị,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tiếp thị,umbrella term given to those activities that companies use to identify consumers and convert them into buyers,thuật ngữ bao trùm cho các hoạt động mà công ty sử dụng để xác định người tiêu dùng và chuyển họ thành người mua
marketing mix,marketing mix (4P),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,marketing mix (4P),basic set of possible strategies and approaches that marketers use to reach their target market,tập hợp cơ bản các chiến lược và cách tiếp cận mà các nhà tiếp thị sử dụng để tiếp cận thị trường mục tiêu
marketing plan,kế hoạch marketing,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,kế hoạch marketing,formal business document that used as blueprint for how a company will achieve its marketing and business goals,tài liệu kinh doanh chính thức được sử dụng như một bản thiết kế cho cách một công ty sẽ đạt được các mục tiêu marketing và kinh doanh của mình
marketing strategy,chiến lược marketing,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,chiến lược marketing,company’s game plan for how it will reach consumers and convert them into paying customers,kế hoạch tổng thể của công ty về cách tiếp cận người tiêu dùng và chuyển họ thành khách hàng trả tiền
odd numbers strategy,chiến lược giá số lẻ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,chiến lược giá số lẻ,psychological pricing strategy that uses odd numbers in the prices to make a product’s price point more attractive to consumers,chiến lược định giá tâm lý sử dụng các con số lẻ trong giá nhằm làm cho mức giá của sản phẩm trở nên hấp dẫn hơn đối với người tiêu dùng
penetration pricing,định giá thâm nhập,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,định giá thâm nhập,pricing below that of a competitor’s price,việc định giá thấp hơn mức giá của đối thủ cạnh tranh
people,con người (nguồn nhân lực),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,con người (nguồn nhân lực),company’s human resources,nguồn nhân lực của công ty
personal selling,bán hàng cá nhân,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,bán hàng cá nhân,using face-to-face interactions to communicate and influence a customer to make a purchase,việc sử dụng các tương tác trực tiếp để giao tiếp và tác động đến khách hàng nhằm thúc đẩy họ thực hiện việc mua hàng
physical environment,môi trường vật lý,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,môi trường vật lý,where a service takes place or a product is manufactured,nơi mà dịch vụ được cung cấp hoặc sản phẩm được sản xuất
place,phân phối (place),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,phân phối (place),channels or locations—physical or digital—where products can be found by customers,các kênh hoặc địa điểm (vật lý hoặc kỹ thuật số) nơi khách hàng có thể tìm thấy sản phẩm
positioning (or value proposition),định vị (hoặc giá trị đề xuất),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,định vị (hoặc giá trị đề xuất),"statement of how you want the customer to perceive your company, good, or service","tuyên bố về cách bạn mong muốn khách hàng nhận thức về công ty, sản phẩm hoặc dịch vụ của bạn"
premium pricing,định giá cao cấp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,định giá cao cấp,charging a price above a competitor’s price,việc đặt mức giá cao hơn so với giá của đối thủ cạnh tranh
price,giá,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,giá,value that must be exchanged in order for a customer to receive a product or service,giá trị mà khách hàng phải trao đổi để nhận được sản phẩm hoặc dịch vụ
process,quy trình,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,quy trình,chain of procedures and/or activities required to provide the product to the customer,chuỗi các quy trình và/hoặc hoạt động cần thiết để cung cấp sản phẩm cho khách hàng
product,sản phẩm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,sản phẩm,good or a service that creates value by fulfilling a customer need or desire,hàng hóa hoặc dịch vụ tạo ra giá trị bằng cách đáp ứng nhu cầu hoặc mong muốn của khách hàng
profit margin,biên lợi nhuận,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 8, Chương 9",biên lợi nhuận,biên lợi nhuận,"mức chênh lệch mà doanh thu vượt quá chi phí, thường được biểu diễn dưới dạng phần trăm"
promotion,xúc tiến,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,xúc tiến,process of communicating value to customers in a way that encourages them to buy,quá trình truyền đạt giá trị đến khách hàng theo cách khuyến khích họ mua
public relations,quan hệ công chúng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,quan hệ công chúng,marketing that focuses on connecting with constituents by developing goodwill,hoạt động marketing tập trung vào việc kết nối với các bên liên quan bằng cách xây dựng thiện chí
qualitative research,nghiên cứu định tính,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,nghiên cứu định tính,"use of open-ended techniques such as observation, focus groups, and interviews to gain an understanding of customers’ basic reasons, opinions, and motivations","việc sử dụng các phương pháp mở như quan sát, nhóm thảo luận và phỏng vấn nhằm hiểu các lý do, quan điểm và động cơ cơ bản của khách hàng"
quantitative research,nghiên cứu định lượng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,nghiên cứu định lượng,generation of numerical data through techniques such as surveys and questionnaires,việc tạo ra dữ liệu dạng số thông qua các phương pháp như khảo sát và bảng câu hỏi
real-time marketing,tiếp thị thời gian thực,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tiếp thị thời gian thực,seeks to turn immediately available sales data into actionable and timely strategies that target the shifting landscape of consumer tastes and trends,nhằm chuyển đổi dữ liệu bán hàng có sẵn ngay lập tức thành các chiến lược kịp thời và có thể triển khai nhằm đáp ứng sự thay đổi trong thị hiếu và xu hướng của người tiêu dùng
